SSE run info
"","          Date","   samples run","simulation model","   PsN version","NONMEM version","Sim. with uncertainty",
"",     2025-5-15,           200,strm_7_sm_1_covmodel_3.mod,        v5.3.0,       default,            no,
Reference/True values
"","           ofv","        THETA1","        THETA2","        THETA3","        THETA4","        THETA5","        THETA6","        THETA7","    OMEGA(1,1)","    OMEGA(2,1)","    OMEGA(2,2)","    OMEGA(3,3)","    OMEGA(4,4)","    SIGMA(1,1)",
"",Sim. model result,           628,          1900,          22.9,          0.75,          19.2,        0.0014,        0.0968,    0.03922071,   0.007844143,    0.03922071,    0.03922071,    0.03922071,    0.00249688,

Simulation model
Samples completed: 200
"","           ofv","          TH_1","          TH_2","          TH_3","          TH_4","          TH_5","          TH_6","          TH_7","          OM_1","          OM_2","          OM_3","          OM_4","          OM_5","          SI_1",
"          mean",-20829.127180475,      631.5378,      1918.194,       22.8317,     0.7494137,      19.30337,   0.001364507,    0.09715557,    0.03889889,    0.00769474,    0.03910926,    0.03748152,    0.03785159,   0.002492675,
"        median",-20828.4114788255,       631.045,       1918.13,       22.8078,      0.747216,       19.3049,   0.001357565,     0.0973389,     0.0390006,   0.007418415,    0.03895375,     0.0371523,     0.0370388,    0.00247852,
"            sd",      107.0542,      9.469702,      29.11771,     0.2065792,    0.01928779,     0.1566324,  0.0001841277,    0.01149308,   0.004736202,   0.002771422,   0.002259291,   0.007360099,    0.01035045,7.98163528026279e-05,
"           max",-20538.591896562943,       657.084,       2007.74,       23.3207,      0.800672,       19.7157,    0.00181175,      0.130448,     0.0513862,     0.0158686,     0.0455096,     0.0593876,     0.0689502,    0.00270596,
"           min",-21125.067392292149,       612.668,       1829.77,       22.3476,      0.705759,       18.8734,   0.000802418,     0.0620012,     0.0267719,    0.00141585,     0.0338775,     0.0207119,     0.0146925,    0.00230113,
"      skewness",     0.1090786,     0.2407618,    0.05854714,     0.1698542,     0.2054417,-0.0836086994501953,-0.0214765255829539,   0.003765719,     0.1209503,     0.2651652,     0.3197643,     0.4053054,     0.3827599,     0.3400667,
"      kurtosis",    0.09312737,-0.334537963624317,     0.1889663,-0.503558632411663,-0.366087232790349,-0.126989545295269,-0.0433225978057514,-0.0162050135582308,-0.26221814811821,-0.227012658233756,     0.0534204,     0.1894906,-0.022729125251908,-0.387699846311815,
"          rmse",              ,      10.08677,      34.27276,     0.2170873,    0.01924844,     0.1873401,  0.0001870648,    0.01146982,   0.004735295,   0.002768519,    0.00225639,   0.007544866,    0.01041492,7.97275610019259e-05,
" relative_rmse",              ,      1.606173,      1.803829,     0.9479795,      2.566458,     0.9757295,      13.36177,      11.84899,      12.07345,      35.29409,      5.753058,      19.23694,      26.55465,      3.193087,
"          bias",              ,      3.537795,      18.19395,-0.0683029999999985,-0.000586260000000039,     0.1033695,  -3.54929e-05,   0.000355571,-0.000321821653281302,-0.000149403080656199,-0.000111450653281302,-0.0017391926532813,-0.0013691201532813,-4.20559858709978e-06,
" relative_bias",              ,     0.5633432,     0.9575763,-0.298266375545845,-0.0781680000000053,     0.5383828,-2.53520714285714,     0.3673254,-0.820540034607651,-1.9046451306521,-0.284162740350319,-4.43437284397211,-3.4908089200993,-0.168434135906063,
"relative_absolute_bias",              ,     0.5633432,     0.9575763,-0.298266375545845,-0.0781680000000053,     0.5383828,-2.53520714285714,     0.3673254,-0.820540034607651,-1.9046451306521,-0.284162740350319,-4.43437284397211,-3.4908089200993,-0.168434135906063,
"           rse",              ,     0.1066256,     0.1083649,    0.06378758,      0.181847,    0.05768534,     0.9299853,      0.839549,     0.8538856,      2.498286,     0.4073257,      1.326946,      1.866073,     0.2260368,
"standard error CI",
"          0.5%",              ,      0.288249,     0.6779948,-0.462838340520308,-0.547333294090473,     0.3895546,-4.93456934155057,-1.79871111650098,-3.02356489892492,-8.35022269854145,-1.33506293536225,-7.85789301209595,-8.30527777597284,-0.751609114098819,
"          2.5%",              ,     0.3543569,     0.7451811,-0.423290038859778,-0.43458814589819,     0.4253195,-4.35797842558549,-1.27819071013317,-2.49415582300371,-6.80128545354478,-1.0825210280338,-7.03518661510495,-7.14831239200323,-0.611466289881955,
"            5%",              ,      0.387944,      0.779316,-0.403196950112896,-0.377306336735982,     0.4434904,-4.06503304086129,-1.01373276173662,-2.22518185701149,-6.01432540165132,-0.954213446084668,-6.61719868760146,-6.56049933401867,-0.540264693707258,
"           95%",              ,     0.7387423,      1.135837,-0.193335800978794,     0.2209703,     0.6332752,-1.00538124485299,      1.748384,     0.5841018,      2.205035,      0.385888,-2.25154700034276,-0.421118506179922,     0.2033964,
"         97.5%",              ,     0.7723294,      1.169972,-0.173242712231912,     0.2782521,     0.6514461,-0.712435860128795,      2.012842,     0.8530758,      2.991995,     0.5141955,-1.83355907283927,     0.1666946,      0.274598,
"         99.5%",              ,     0.8384373,      1.237158,-0.133694410571382,     0.3909973,      0.687211,-0.135844944163706,      2.533362,      1.382485,      4.540932,     0.7667375,-1.01085267584827,       1.32366,     0.4147408,
