"hypothesis","sample","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","POP_V2","POP_V3","POP_Q","POP_KA","POP_CL","POP_CLCLCR","IIV_V2","IIV_CL_IIV_V2","IIV_CL","IIV_V3","IIV_KA","sigma","sePOP_V2","sePOP_V3","sePOP_Q","sePOP_KA","sePOP_CL","sePOP_CLCLCR","seIIV_V2","seIIV_CL_IIV_V2","seIIV_CL","seIIV_V3","seIIV_KA","sesigma","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12"
simulation,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3.2,2.56132,FOCE_I,NA,205.68,220.11,-19837.867067045518,629.142,1926.99,23.0876,0.74987,20.0528,0.00542371,0.0351627,0.0237627,0.319531,0.0334721,0.0485589,0.0025645,9.02351,29.8945,0.217649,0.0195316,0.452179,0.000632685,0.00441695,0.00754283,0.0181624,0.00578195,0.0106066,8.4398e-05,NA,NA,NA,NA,NA,0.570387,0.646826,0.783502,0.867673,0.910247,0.957528,0.99545,1.05996,1.12528,1.19649,1.42571,1.46094
simulation,2,2,1,1,1,1,1,0,0,0,0,0,0,0,3.2,2.52401,FOCE_I,NA,215.94,215.43,-19667.360887988056,637.812,1939.76,22.9072,0.731165,19.0123,0.00556699,0.0347561,0.015808,0.302361,0.0326563,0.0489447,0.00244884,9.25793,29.2842,0.20842,0.0193382,0.417122,0.00062955,0.0044651,0.00793641,0.0172111,0.0060906,0.0110101,8.12102e-05,NA,NA,NA,NA,NA,0.580032,0.677938,0.781567,0.8814,0.901562,0.940611,0.989387,1.07779,1.11023,1.23349,1.36198,1.46401
simulation,3,3,1,1,1,1,1,0,0,0,0,0,0,0,3.6,2.35891,FOCE_I,NA,269.83,220.37,-19737.625963178751,614.496,1926.82,23.0022,0.74693,19.4156,0.00535914,0.0487795,0.0183959,0.286562,0.0318513,0.0388713,0.00239395,9.64781,29.1672,0.208294,0.0187956,0.415105,0.000623477,0.00563716,0.00798685,0.0163379,0.00525698,0.00916049,7.92633e-05,NA,NA,NA,NA,NA,0.59797,0.72387,0.843595,0.87434,0.927908,0.965508,0.99698,1.0748,1.12406,1.19421,1.2662,1.41056
simulation,4,4,1,1,1,1,1,0,0,0,0,0,0,0,4.9,2.82465,FOCE_I,NA,272.27,225.47,-19938.398805834015,630.106,1921.66,22.6984,0.732097,19.5882,0.00448368,0.0328016,0.0204718,0.311032,0.0387328,0.0470018,0.00253849,8.99925,31.0216,0.219413,0.0185243,0.436815,0.00062309,0.00403183,0.00760613,0.0177247,0.00614343,0.0103308,8.34058e-05,NA,NA,NA,NA,NA,0.52465,0.680121,0.793648,0.863635,0.880932,0.978465,0.980794,1.06574,1.12697,1.21178,1.41131,1.48195
simulation,5,5,1,1,1,1,1,0,0,0,0,0,0,0,4.1,2.42692,FOCE_I,NA,225.49,223.59,-19661.464011022512,631.107,1904.53,22.7595,0.745904,19.0793,0.00449977,0.0455812,0.0193074,0.322098,0.0373369,0.0401897,0.00239389,9.86132,29.7318,0.211471,0.0189439,0.435089,0.000654497,0.00529827,0.00836378,0.0183119,0.00621192,0.00881173,8.04811e-05,NA,NA,NA,NA,NA,0.594145,0.732115,0.797344,0.863834,0.897616,0.9781,0.987664,1.04953,1.13426,1.24228,1.28117,1.44194
simulation,6,6,1,1,1,1,1,0,0,0,0,0,0,0,3,2.31538,FOCE_I,NA,220.27,223.73,-19593.977923349947,632.438,1920.13,22.5968,0.74987,19.176,0.00520034,0.0464175,0.0170302,0.313101,0.0401025,0.0316089,0.0024076,9.79542,31.0407,0.212321,0.0182952,0.429168,0.000636461,0.00553952,0.0084336,0.0178761,0.00732432,0.007843,8.18746e-05,NA,NA,NA,NA,NA,0.634784,0.674697,0.771286,0.856476,0.894885,0.984491,0.989679,1.06548,1.11414,1.22239,1.32193,1.46977
simulation,7,7,1,1,1,1,1,0,0,0,0,0,0,0,4.1,2.52978,FOCE_I,NA,303.77,225.89,-19934.245943177553,640.677,1930.05,23.3009,0.747497,19.6366,0.00607578,0.0333777,0.0190868,0.299538,0.0431431,0.04829,0.00246956,9.12257,31.7865,0.213123,0.0197562,0.429285,0.00064745,0.0042153,0.00790966,0.0170921,0.00676936,0.0103773,8.18138e-05,NA,NA,NA,NA,NA,0.580061,0.690988,0.793047,0.876547,0.912824,0.958824,0.995045,1.06642,1.10842,1.18995,1.36044,1.46743
simulation,8,8,1,1,1,1,1,0,0,0,0,0,0,0,3.9,2.38123,FOCE_I,NA,259.18,220.86,-19592.406235337974,647.654,1870.51,22.5195,0.722618,19.6362,0.00518661,0.0383524,0.00985955,0.312119,0.0383064,0.0366607,0.00252908,9.62467,30.5889,0.225008,0.0178699,0.438561,0.000640568,0.00466301,0.00801864,0.0177532,0.00687895,0.00929453,8.38202e-05,NA,NA,NA,NA,NA,0.618448,0.706485,0.787055,0.861482,0.906455,0.948717,0.982037,1.07056,1.12075,1.25045,1.2749,1.47267
simulation,9,9,1,1,1,0,1,0,0,1,0,0,0,0,2.8,22387700000000,FOCE_I,NA,527.18,425.78,-19665.710831923934,621.576,1865.9,22.8419,0.745178,19.1427,0.00568427,0.0359035,0.0245766,0.300777,0.0366932,0.0361783,0.00252756,120.243,10.6437,0.220163,0.313447,0.00368945,0.00369034,9.6895e-05,0.000406831,0.00111414,0.000142456,0.00171167,4.84847e-05,NA,NA,NA,NA,NA,4.71588e-13,1.31168e-09,3.15844e-06,0.000206215,0.00531379,0.00775375,0.00907143,0.0293342,0.120837,0.392474,0.877263,10.5577
simulation,10,10,1,1,1,0,1,0,0,1,0,0,0,0,NA,1140980000,FOCE_I,NA,567.79,416.57,-19859.552355545056,649.498,1902.84,22.8317,0.729935,19.1999,0.00441673,0.0387199,0.00738219,0.306594,0.0200765,2.82217e-05,0.00294964,7.51899,0.0117717,0.189514,0.0100956,0.252305,0.00057184,4.6143e-05,0.000370105,0.0173474,0.00582444,8.43879e-05,8.52723e-05,NA,NA,NA,NA,NA,1.95632e-09,1.76222e-07,0.00483888,0.78951,0.871356,0.936167,0.987732,1.06877,1.49137,1.60778,2.01035,2.23213
simulation,11,11,1,1,1,1,1,0,0,0,0,0,0,0,3.6,2.88088,FOCE_I,NA,224.07,221.07,-19946.319668025608,630.255,1909.66,22.6778,0.763361,20.2732,0.00385153,0.043275,0.0293693,0.316763,0.0347773,0.0253284,0.00253634,9.37488,30.5152,0.212035,0.0173371,0.45776,0.000594129,0.0049316,0.00855812,0.018088,0.00637637,0.00717297,8.40665e-05,NA,NA,NA,NA,NA,0.541147,0.630133,0.776186,0.835391,0.901816,0.93787,0.994023,1.0117,1.17276,1.21532,1.42467,1.55898
simulation,12,12,1,1,1,0,1,0,0,1,0,0,0,0,2.4,406424,FOCE_I,NA,543.65,452.19,-19838.623543785725,636.17,1882.07,23.7823,0.739702,19.8371,0.00403808,0.0416813,0.0243226,0.333323,0.0403293,0.0446989,0.00243945,0.0140468,0.0237289,0.230475,0.00524021,0.000514224,7.90257e-08,0.00163928,0.00465219,0.0107212,0.00127309,0.00102302,1.77813e-06,NA,NA,NA,NA,NA,1.29514e-05,0.00516933,0.0224283,0.0413127,0.142312,0.571496,0.844845,0.959263,0.980977,1.09524,2.0732,5.26374
simulation,13,13,1,1,1,1,1,0,0,0,0,0,0,0,3.7,2.60798,FOCE_I,NA,294.85,225.3,-19534.362208571463,640.03,1936.94,23.0637,0.758072,19.1996,0.00539394,0.0368894,0.0168621,0.296831,0.0332891,0.046487,0.0025332,9.49355,29.8683,0.225432,0.0203448,0.418052,0.000635675,0.00475241,0.00751816,0.0168879,0.0067044,0.0100657,8.65816e-05,NA,NA,NA,NA,NA,0.582461,0.65482,0.725298,0.855829,0.894571,0.929982,0.98878,1.07418,1.11992,1.26917,1.38594,1.51905
simulation,14,14,1,1,1,1,1,0,0,0,0,0,0,0,3.6,2.49307,FOCE_I,NA,252.57,221.23,-19883.571145431590,629.364,1917.09,23.1496,0.780292,19.0451,0.00556999,0.0371615,0.010715,0.324364,0.0388047,0.0312279,0.00255675,9.16913,30.5635,0.22003,0.0187283,0.43258,0.000660535,0.00467428,0.00825104,0.0185005,0.00660622,0.00825348,8.53991e-05,NA,NA,NA,NA,NA,0.591108,0.706797,0.805733,0.894008,0.938387,0.950973,0.985931,1.04866,1.10096,1.21932,1.28444,1.47367
simulation,15,15,1,1,1,1,1,0,0,0,0,0,0,0,3.2,2.48577,FOCE_I,NA,178.72,226.52,-19628.021316403891,633.661,1908.46,22.8295,0.752876,19.098,0.00492299,0.0335916,0.0137456,0.284919,0.0409161,0.0327882,0.00250048,9.0286,30.632,0.21725,0.0182553,0.407968,0.000618445,0.00401211,0.00730461,0.0161871,0.00643327,0.0077556,8.227e-05,NA,NA,NA,NA,NA,0.591558,0.729474,0.805443,0.880363,0.925239,0.945799,0.991004,1.07278,1.11404,1.18434,1.28948,1.47048
simulation,16,16,1,1,1,1,1,0,0,0,0,0,0,0,3.8,2.54568,FOCE_I,NA,274.34,221.51,-19677.256387867343,616.437,1919.87,23.4458,0.713794,19.7696,0.00521415,0.0429644,0.0255085,0.306434,0.0344713,0.0435775,0.00239309,9.33698,29.4396,0.216473,0.0180542,0.437218,0.000626634,0.00508723,0.00777928,0.0174334,0.00658332,0.0103931,8.11352e-05,NA,NA,NA,NA,NA,0.570897,0.641804,0.716461,0.853136,0.900334,0.953139,0.997324,1.07015,1.12458,1.28417,1.43469,1.45332
