SSE run info
"","          Date","   samples run","simulation model","   PsN version","NONMEM version","Sim. with uncertainty",
"",     2025-5-15,           200,strm_7_sm_3_covmodel_17.mod,        v5.3.0,       default,            no,
Reference/True values
"","           ofv","        THETA1","        THETA2","        THETA3","        THETA4","        THETA5","        THETA6","    OMEGA(1,1)","    OMEGA(2,1)","    OMEGA(2,2)","    OMEGA(3,3)","    OMEGA(4,4)","    SIGMA(1,1)",
"",Sim. model result,           628,          1900,          22.9,          0.75,          19.2,        0.0048,    0.03922071,     0.0219634,     0.3074847,    0.03922071,    0.03922071,    0.00249688,

Simulation model
Samples completed: 200
"","           ofv","          TH_1","          TH_2","          TH_3","          TH_4","          TH_5","          TH_6","          OM_1","          OM_2","          OM_3","          OM_4","          OM_5","          SI_1",
"          mean",-19796.8566581778,      631.6025,      1919.795,      22.87241,      0.746867,      19.32795,   0.004790771,    0.03909208,    0.02302401,     0.3065074,    0.03721222,    0.03759074,   0.002552936,
"        median",-19821.6669306026,      630.8885,       1917.94,       22.8674,       0.74565,      19.33485,   0.004809375,     0.0386776,     0.0232679,      0.306669,    0.03740715,    0.03734035,    0.00249519,
"            sd",      235.5685,      11.08531,      29.45007,     0.2303661,    0.02035953,     0.4335126,  0.0006215508,   0.007241509,   0.008938376,    0.01780403,   0.007524128,    0.01046951,  0.0003534144,
"           max",-18360.834917933073,       692.969,       2050.85,       23.7823,      0.875554,       20.4391,    0.00646373,      0.110109,     0.0778322,      0.377729,      0.066296,     0.0764252,    0.00642037,
"           min",-20346.405091300010,       605.254,       1847.52,        22.309,      0.703362,       18.0905,    0.00314154,     0.0269316,    0.00207216,      0.256386,     0.0118491,   2.82217e-05,    0.00228556,
"      skewness",      1.410275,      1.458886,     0.5149584,     0.2886561,      1.404066,    0.00408071,    0.05389949,      4.829823,       1.22971,     0.3331217,-0.260890392060131,     0.1240867,      7.871774,
"      kurtosis",      7.273539,      6.219104,      1.721499,     0.6473595,      7.219361,-0.018393679339308,-0.0799917202712668,      45.75519,      6.384364,      1.143609,      1.585705,      1.649821,      76.58171,
"          rmse",              ,       11.6296,      35.42358,     0.2314401,    0.02054882,     0.4509609,  0.0006200637,   0.007224528,   0.008978863,    0.01778633,   0.007769394,    0.01056974,  0.0003569586,
" relative_rmse",              ,      1.851848,      1.864399,      1.010656,      2.739843,      2.348755,      12.91799,      18.42019,      40.88103,      5.784461,      19.80941,      26.94938,      14.29619,
"          bias",              ,      3.602515,      19.79545,-0.0275924999999985,-0.00313303000000004,      0.127954,-9.22854999999951e-06,-0.000128629653281302,   0.001060612,-0.000977274747960502,-0.0020084901532813,-0.0016299751447813,5.60559014129002e-05,
" relative_bias",              ,     0.5736489,      1.041866,-0.120491266375539,-0.417737333333339,     0.6664271,-0.192261458333323,-0.327963575722335,      4.828996,-0.317828740344335,-5.12099345422858,-4.15590389295339,      2.245038,
"relative_absolute_bias",              ,     0.5736489,      1.041866,-0.120491266375539,-0.417737333333339,     0.6664271,-0.192261458333323,-0.327963575722335,      4.828996,-0.317828740344335,-5.12099345422858,-4.15590389295339,      2.245038,
"           rse",              ,     0.1248168,     0.1096018,     0.0711325,     0.1919515,     0.1596561,     0.9156309,      1.305565,      2.877691,     0.4094301,      1.356518,      1.887538,      1.000856,
"standard error CI",
"          0.5%",              ,     0.2516215,     0.7590931,-0.304013104135182,-0.912972294721573,     0.2545143,-2.55458905770638,-3.69632211644742,-2.59544596845532,-1.37415840724212,-8.62081113507989,-9.02575300527365,-0.337170103505321,
"          2.5%",              ,      0.329008,     0.8270462,-0.259910957076664,-0.79396234276006,     0.3535011,-1.98689792917487,-2.88687161441271,-0.811277711480813,-1.12031174310389,-7.77976967689081,-7.85547918758429,     0.2833605,
"            5%",              ,     0.3683253,     0.8615708,-0.237504221071126,-0.733497609102194,     0.4037928,-1.69847421064677,-2.47561853676605,    0.09519487,-0.991341260517535,-7.35246635539152,-7.26090458666147,       0.59863,
"           95%",              ,     0.7789725,      1.222161,-0.00347831167995297,-0.101977057564485,     0.9290614,      1.313951,      1.819691,      9.562797,     0.3556838,-2.88952055306563,-1.05090319924532,      3.891445,
"         97.5%",              ,     0.8182898,      1.256685,    0.01892842,-0.0415123239066188,     0.9793531,      1.602375,      2.230944,      10.46927,     0.4846543,-2.46221723156634,-0.456328598322499,      4.206715,
"         99.5%",              ,     0.8956762,      1.324638,    0.06303057,    0.07749763,       1.07834,      2.170066,      3.040395,      12.25344,     0.7385009,-1.62117577337727,     0.7139452,      4.827245,
