"hypothesis","sample","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","POP_V2","POP_V3","POP_Q","POP_KA","POP_CL","POP_CLCLCR","POP_CLBR","IIV_V2","IIV_CL_IIV_V2","IIV_CL","IIV_V3","IIV_KA","sigma","sePOP_V2","sePOP_V3","sePOP_Q","sePOP_KA","sePOP_CL","sePOP_CLCLCR","sePOP_CLBR","seIIV_V2","seIIV_CL_IIV_V2","seIIV_CL","seIIV_V3","seIIV_KA","sesigma","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13"
simulation,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3.1,3.38088,FOCE_I,NA,200.27,268.3,-16780.719673260708,613.224,1914.27,23.0258,0.711809,19.3917,0.00142842,0.0581945,0.0445387,0.0256457,0.307538,0.0405765,0.0580089,0.00951473,12.1427,45.804,0.411072,0.0265555,0.46142,0.000558609,0.0270517,0.006943,0.0103316,0.0178276,0.011475,0.018819,0.000302963,NA,NA,NA,NA,NA,0.46483,0.633018,0.67107,0.744539,0.860256,0.882393,0.939084,1.00908,1.0635,1.22899,1.42735,1.50435,1.57153
simulation,2,2,1,1,1,1,1,0,0,0,0,0,0,0,3.5,4.04382,FOCE_I,NA,228.44,272.64,-16776.312400002425,632.187,1911.55,22.7194,0.755356,19.5277,0.000568216,0.163194,0.0466238,0.0447756,0.31336,0.0394109,0.0326598,0.00967359,12.2209,46.9807,0.415443,0.0262401,0.474977,0.000544836,0.0374423,0.00712148,0.00977672,0.0180928,0.0124121,0.0132664,0.000309992,NA,NA,NA,NA,NA,0.400316,0.545221,0.652329,0.70322,0.801077,0.871577,0.958772,0.98097,1.04825,1.3171,1.50624,1.59612,1.61881
simulation,3,3,1,1,1,1,1,0,0,0,0,0,0,0,3.5,3.19504,FOCE_I,NA,214.28,258.4,-16786.522419610446,620.667,1919.11,22.9643,0.73161,19.5798,0.00114055,0.130624,0.0539715,0.0251785,0.304109,0.0172076,0.0223136,0.00995518,12.6817,41.251,0.420591,0.0238066,0.466134,0.000547463,0.0339457,0.00792482,0.0109284,0.0176435,0.00872802,0.0113914,0.00031398,NA,NA,NA,NA,NA,0.500312,0.636273,0.668094,0.767293,0.856444,0.88072,0.931493,1.01476,1.06105,1.2218,1.37975,1.4835,1.59852
simulation,4,4,1,1,1,1,1,0,0,0,0,0,0,0,3.4,3.82074,FOCE_I,NA,212,264.06,-16842.610942134623,630.857,1958.13,23.3191,0.715451,19.9305,0.00180421,0.127602,0.0470744,0.0404358,0.300695,0.0341707,0.0210848,0.0101138,12.5951,47.6309,0.417436,0.0231076,0.472768,0.000557254,0.0353153,0.00699892,0.0100837,0.0173681,0.00994049,0.0109126,0.000316572,NA,NA,NA,NA,NA,0.419799,0.585177,0.663306,0.711526,0.797239,0.866166,0.973461,1.0173,1.06907,1.27066,1.48815,1.53421,1.60394
simulation,5,5,1,1,1,1,1,0,0,0,0,0,0,0,3.2,3.58064,FOCE_I,NA,242.73,268.82,-16787.742895033014,622.421,1889.4,22.8615,0.733006,19.4759,0.00185536,0.0649759,0.0372153,0.0209173,0.286771,0.042071,0.0340083,0.00929154,11.656,45.4553,0.430719,0.025428,0.452542,0.000560375,0.0303027,0.00571743,0.00943806,0.0165848,0.0102955,0.013371,0.000291162,NA,NA,NA,NA,NA,0.464222,0.651729,0.661881,0.772076,0.849987,0.872267,0.925576,0.996539,1.09112,1.17446,1.35222,1.5257,1.66221
simulation,6,6,1,1,1,1,1,0,0,0,0,0,0,0,4.3,3.5153,FOCE_I,NA,234.57,267.83,-16926.710238000356,627.265,1835.01,22.9019,0.720246,19.3422,0.0011434,0.0961187,0.0393331,0.0244536,0.301475,0.0346464,0.0597844,0.00977761,12.0966,42.5821,0.424472,0.026929,0.456376,0.000526414,0.0317366,0.00671288,0.00960021,0.0174658,0.0112761,0.0202083,0.000310293,NA,NA,NA,NA,NA,0.455585,0.598175,0.672804,0.751813,0.810249,0.920749,0.932475,1.00482,1.11628,1.27873,1.40489,1.45191,1.60152
simulation,7,7,1,1,1,1,1,0,0,0,0,0,0,0,3.8,3.34449,FOCE_I,NA,252.47,262.2,-16785.411882686669,623.906,1953.63,22.6415,0.709204,19.7963,0.00156255,0.0785873,0.0303281,0.00884179,0.327091,0.0326016,0.0269926,0.0102167,11.3421,45.7186,0.397676,0.0236833,0.491466,0.000602967,0.0316435,0.00521351,0.00900917,0.0188965,0.00953762,0.0119482,0.000319392,NA,NA,NA,NA,NA,0.474457,0.644762,0.743044,0.823824,0.858303,0.898583,0.978696,0.987266,1.07128,1.19361,1.25225,1.4871,1.58682
simulation,8,8,1,1,1,1,1,0,0,0,0,0,0,0,3.7,3.50174,FOCE_I,NA,204.39,257.12,-16822.832298886773,622.579,1931.29,23.3014,0.756739,19.9613,0.00120734,0.104102,0.0359882,0.021861,0.311743,0.0292895,0.0488994,0.00993824,11.5779,44.489,0.41389,0.0280129,0.481895,0.000571761,0.033005,0.00579313,0.00940832,0.0180421,0.00918534,0.0157334,0.000308776,NA,NA,NA,NA,NA,0.458199,0.642081,0.675858,0.800496,0.859691,0.873779,0.947311,0.986786,1.07455,1.17096,1.40871,1.49708,1.6045
simulation,9,9,1,1,1,1,1,0,0,0,0,0,0,0,3.1,3.38991,FOCE_I,NA,193.17,261.79,-16789.676554069421,631.015,1969.64,22.9706,0.743865,19.0782,0.00107489,0.145638,0.0405631,0.0152487,0.293731,0.0292394,0.0343974,0.0100737,12.3712,44.5145,0.414383,0.0261345,0.45235,0.000557113,0.0368289,0.0063642,0.00901369,0.0169924,0.00942499,0.0134793,0.000316439,NA,NA,NA,NA,NA,0.47236,0.63802,0.688933,0.812984,0.850673,0.900704,0.945776,1.00715,1.0511,1.21291,1.30103,1.51709,1.60126
simulation,10,10,1,1,1,1,1,0,0,0,0,0,0,0,3.4,4.17455,FOCE_I,NA,222.93,264.19,-16401.462660548910,631.212,1960.37,23.3567,0.737619,18.751,0.00144133,0.0613624,0.039973,0.043678,0.322319,0.0315035,0.01758,0.0101148,11.9996,45.4576,0.434192,0.0240145,0.456414,0.000549985,0.0290229,0.006075,0.00997827,0.0186346,0.0103811,0.0101608,0.000317368,NA,NA,NA,NA,NA,0.392497,0.576776,0.670101,0.759544,0.82186,0.914257,0.965845,0.999144,1.05018,1.25599,1.41724,1.53806,1.6385
